Country,Zipcode,Amount,Lat,Long
US,4644,12332306,44.42,-68.27
US,4646,10374012,44.3,-68.27
US,4455,11309029,45.36,-68.28
US,4779,10678372,47.16,-68.3
US,4776,12468019,45.81,-68.31
US,4772,9049749,47.24,-68.31
US,4672,12250137,44.43,-68.32
US,4408,12068441,44.85,-68.32
US,4679,11993444,44.27,-68.33
US,4756,11168667,47.34,-68.33
US,4459,9648991,45.51,-68.35
US,4612,10240121,44.24,-68.35
US,4662,9002375,44.3,-68.36
US,4660,11453055,44.31,-68.36
US,4635,9534022,44.11,-68.36
US,4495,12405847,45.48,-68.37
US,4745,10705200,47.28,-68.38
US,4732,11918262,46.63,-68.4
US,4775,10255310,46.66,-68.41
US,4733,11004714,45.8,-68.41
US,4674,9200892,44.3,-68.41
US,4417,10904270,45.2,-68.42
US,4653,11869699,44.15,-68.43
US,4777,11730223,45.89,-68.43
US,4765,10882948,45.99,-68.44
US,4685,11970163,44.14,-68.45
US,4768,10908415,46.76,-68.47
US,4605,11977471,44.58,-68.49
US,4764,11424510,46.41,-68.49
US,4684,11278326,44.49,-68.5
US,4457,9227836,45.36,-68.5
US,4460,12001044,45.6,-68.53
US,4629,9689105,44.44,-68.54
US,4616,10587418,44.26,-68.56
US,4781,11617251,47.15,-68.57
US,4430,12301420,45.62,-68.57
US,4743,8794352,47.26,-68.57
US,4493,9836790,45.26,-68.58
US,4614,11205737,44.41,-68.58
US,4744,11422022,47.23,-68.58
US,4739,11706871,47.04,-68.59
US,4418,11341377,45.08,-68.59
US,4676,9904482,44.3,-68.61
US,4467,11411098,45.12,-68.61
US,4475,10344440,45.18,-68.61
US,4411,11903360,44.92,-68.62
US,4645,10936005,44.04,-68.62
US,4461,10355725,44.94,-68.64
US,4448,9793260,45.25,-68.66
US,4431,11969142,44.58,-68.66
US,4681,12555956,44.18,-68.67
US,4627,9238096,44.22,-68.67
US,4429,12344427,44.75,-68.67
US,4617,12611960,44.34,-68.68
US,4473,11805263,44.88,-68.68
US,4469,12192761,44.88,-68.68
US,4428,9364950,44.82,-68.69
US,4462,10310970,45.65,-68.69
US,4673,11770965,44.32,-68.7
US,4683,9616961,44.22,-68.7
US,4476,11349125,44.46,-68.71
US,4650,9734631,44.28,-68.71
US,4489,10125392,45.01,-68.72
US,4472,10784539,44.57,-68.73
US,4468,10620297,44.95,-68.73
US,4412,9939785,44.77,-68.73
US,4402,11292541,44.83,-68.78
US,4401,11461654,44.83,-68.78
US,4416,9460545,44.6,-68.79
US,4642,9170579,44.33,-68.79
US,4421,10188184,44.38,-68.8
US,4420,9637748,44.38,-68.8
US,4474,11712299,44.73,-68.82
US,4863,12388386,44.04,-68.83
US,4444,12578240,44.74,-68.83
US,4453,9819342,45.16,-68.84
US,4972,12118529,44.52,-68.84
US,4981,11345066,44.48,-68.85
US,4496,11867775,44.65,-68.85
US,4853,9308317,44.15,-68.86
US,4438,11069137,44.6,-68.87
US,4449,9519358,45,-68.88
US,4851,10818259,43.86,-68.88
US,4774,12505464,47.17,-68.89
US,4848,9115483,44.3,-68.9
US,4974,9299729,44.46,-68.91
US,4410,10909970,45.06,-68.93
US,4450,12265113,44.91,-68.93
US,4456,11510873,44.86,-68.93
US,4463,9544125,45.25,-68.98
US,4849,10725218,44.28,-69
US,4951,10718740,44.61,-69.01
US,4427,10995669,44.98,-69.01
US,4915,12596239,44.42,-69.02
US,4414,10380176,45.3,-69.03
US,4422,10919933,45.08,-69.04
US,4854,8759463,44.08,-69.05
US,4419,12631959,44.79,-69.05
US,4415,9265106,45.35,-69.05
US,4843,12631975,44.2,-69.06
US,4856,8910161,44.18,-69.07
US,4850,9556598,44.3,-69.07
US,4846,10976627,44.11,-69.08
US,4481,8747669,45.27,-69.11
US,4434,10150494,44.82,-69.11
US,4858,11616301,44.05,-69.12
US,4921,11717761,44.55,-69.12
US,4841,11597192,44.12,-69.13
US,4435,11177073,44.97,-69.14
US,4488,10612211,44.89,-69.14
US,4952,11799329,44.44,-69.14
US,4847,9827847,44.26,-69.15
US,4865,11200926,44.19,-69.15
US,4939,8882955,45.03,-69.16
US,4932,10908677,44.68,-69.16
US,4859,10235944,44.01,-69.17
US,4741,9116809,47.4,-69.17
US,4861,10185879,44.08,-69.18
US,4426,10305845,45.21,-69.18
US,4973,12250130,44.36,-69.19
US,4969,11058657,44.76,-69.21
US,4933,11507536,44.81,-69.22
US,4860,10046750,43.95,-69.23
US,4987,9966303,44.66,-69.24
US,4563,8715981,44.01,-69.24
US,4864,10334139,44.12,-69.24
US,4855,9325814,43.93,-69.25
US,4928,11411162,44.92,-69.26
US,4953,10913988,44.83,-69.26
US,4986,8745508,44.57,-69.27
US,4862,12564024,44.21,-69.27
US,4929,10721807,44.79,-69.29
US,4941,10922940,44.53,-69.29
US,4930,11655706,45.01,-69.29
US,4949,10127816,44.38,-69.3
US,4852,10060357,43.76,-69.32
US,4547,8991195,43.98,-69.33
US,4988,9199873,44.61,-69.33
US,4479,12077684,45.16,-69.35
US,4965,11780750,44.84,-69.35
US,4574,9329567,44.27,-69.36
US,4443,11113587,45.16,-69.38
US,4967,11433732,44.77,-69.38
US,4572,10972671,44.09,-69.38
US,4971,11263465,44.91,-69.41
US,4551,9117884,44,-69.42
US,4922,10816350,44.69,-69.42
US,4910,10328792,44.53,-69.44
US,4406,9884593,45.18,-69.45
US,4943,10815124,44.88,-69.45
US,4348,9165854,44.2,-69.45
US,4564,11271639,43.91,-69.46
US,4354,10635526,44.4,-69.47
US,4923,8848340,45.02,-69.47
US,4555,12120137,44.07,-69.48
US,4341,9690693,44.27,-69.49
US,4541,10453715,43.88,-69.49
US,4464,10080120,45.28,-69.5
US,4554,9854632,43.85,-69.5
US,4539,11822549,43.95,-69.5
US,4927,9893877,44.63,-69.5
US,4543,9347371,44.03,-69.51
US,4926,12107639,44.47,-69.51
US,4737,11858245,46.61,-69.52
US,4558,9124501,43.89,-69.52
US,4553,9828210,44.03,-69.53
US,4942,10089898,44.97,-69.54
US,4901,10647227,44.56,-69.55
US,4573,11652380,43.94,-69.55
US,4924,9920818,44.76,-69.56
US,4962,11798420,44.48,-69.56
US,4568,12556189,43.86,-69.56
US,4363,8810044,44.31,-69.58
US,4358,11333745,44.39,-69.58
US,4544,9646710,43.82,-69.59
US,4441,11017133,45.46,-69.59
US,4535,12063324,44.1,-69.6
US,4937,12222536,44.59,-69.6
US,4935,11692906,44.44,-69.6
US,4975,10934704,44.62,-69.6
US,4538,12417958,43.85,-69.62
US,4353,10056834,44.17,-69.62
US,4549,9438443,43.89,-69.62
US,4556,12313271,43.95,-69.63
US,4537,10086504,43.87,-69.63
US,4570,8932335,43.8,-69.63
US,4485,12627225,45.35,-69.63
US,4576,10625095,43.84,-69.65
US,4944,11196767,44.67,-69.65
US,4575,9729568,43.85,-69.65
US,4903,8745152,44.54,-69.66
US,4912,10131084,44.92,-69.67
US,4989,10362584,44.45,-69.67
US,4578,11334846,44.01,-69.67
US,4571,11832735,43.89,-69.67
US,4442,10257322,45.47,-69.69
US,4963,9181716,44.55,-69.71
US,4976,8807185,44.77,-69.71
US,4332,10079294,44.33,-69.72
US,4342,10346107,44.1,-69.72
US,4330,12668415,44.33,-69.72
US,4338,9237890,44.33,-69.72
US,4333,11513634,44.33,-69.72
US,4336,12214983,44.33,-69.72
US,4548,10177294,43.8,-69.74
US,4478,11207908,45.67,-69.74
US,4346,9390171,44.23,-69.75
US,4359,10900220,44.17,-69.78
US,4344,10114115,44.25,-69.78
US,4579,10491056,43.96,-69.78
US,4345,12364289,44.19,-69.78
US,4357,12514167,44.08,-69.79
US,4957,11758117,44.71,-69.79
US,4978,10187021,44.63,-69.8
US,4562,9753706,43.82,-69.81
US,4347,10917257,44.29,-69.81
US,4917,9887080,44.44,-69.83
US,4530,10646267,43.93,-69.83
US,4565,9453539,43.77,-69.84
US,4918,11893476,44.51,-69.84
US,4979,9560490,44.94,-69.85
US,4351,11016319,44.32,-69.86
US,4920,11437969,45.05,-69.87
US,4911,10371010,44.79,-69.88
US,4950,9277503,44.79,-69.88
US,4008,9074150,44.01,-69.89
US,4343,12576621,44.33,-69.9
US,4958,12658775,44.95,-69.94
US,4086,10445007,43.93,-69.94
US,2650,9846975,41.7,-69.95
US,2642,11862891,41.83,-69.96
US,2633,11126726,41.67,-69.96
US,4066,11689247,43.77,-69.96
US,4355,12491042,44.38,-69.96
US,4350,9549228,44.13,-69.96
US,4364,11734836,44.31,-69.96
US,4011,11575835,43.91,-69.96
US,2651,10232143,41.84,-69.97
US,4985,11439438,45.42,-69.97
US,2663,12045266,41.89,-69.98
US,2643,12530791,41.74,-69.98
US,4352,9376322,44.5,-69.98
US,4079,10257519,43.8,-69.98
US,4360,12344392,44.53,-69.98
US,2669,10708200,41.68,-69.99
US,2662,8702354,41.75,-69.99
US,4003,11200904,43.73,-69.99
US,4925,11757132,45.23,-69.99
US,2653,12073598,41.79,-70
US,2564,12669440,41.27,-70
US,4955,9980863,44.63,-70.01
US,4259,10927115,44.23,-70.01
US,2659,11833285,41.68,-70.02
US,4287,11901036,44.04,-70.02
US,2667,10010548,41.93,-70.03
US,2661,11005799,41.67,-70.04
US,4265,11987432,44.27,-70.05
US,4252,9481357,44,-70.05
US,2666,10330236,42,-70.06
US,2646,11591672,41.66,-70.06
US,4284,9737282,44.34,-70.06
US,2645,8996197,41.69,-70.07
US,4349,12408236,44.43,-70.07
US,4940,11884314,44.62,-70.07
US,4013,9777700,43.79,-70.07
US,2631,10908201,41.76,-70.08
US,4961,9657510,45.01,-70.08
US,2652,10583600,42.04,-70.09
US,4954,10533855,44.88,-70.09
US,2584,9546880,41.27,-70.1
US,2554,12045682,41.27,-70.1
US,4078,9437617,43.86,-70.1
US,4280,11248965,44.11,-70.1
US,4032,12646044,43.85,-70.1
US,4019,9672930,43.69,-70.1
US,4033,8799993,43.85,-70.1
US,4034,10003196,43.85,-70.1
US,2671,12557820,41.67,-70.11
US,4017,9868996,43.73,-70.11
US,4956,11650015,44.8,-70.12
US,4263,8717867,44.3,-70.12
US,4250,9673002,44.01,-70.12
US,4222,11162795,43.92,-70.12
US,4228,10022716,44.39,-70.12
US,2639,10875153,41.66,-70.13
US,4236,10236463,44.18,-70.14
US,4938,11357025,44.66,-70.14
US,2641,10205399,41.74,-70.15
US,2660,9310220,41.7,-70.15
US,4947,12242350,44.95,-70.15
US,4050,11156817,43.69,-70.15
US,2670,11142579,41.66,-70.16
US,4992,10248385,44.63,-70.16
US,4241,10604352,44.08,-70.17
US,4243,11326971,44.08,-70.17
US,4240,11619615,44.08,-70.17
US,4108,11028347,43.66,-70.18
US,4069,11151578,43.89,-70.18
US,4254,10197108,44.47,-70.18
US,4234,11707637,44.61,-70.18
US,2638,11475607,41.73,-70.2
US,2657,12186155,42.06,-70.2
US,2664,9869650,41.67,-70.2
US,4110,10798177,43.75,-70.2
US,4096,12507625,43.79,-70.2
US,4107,11650109,43.56,-70.2
US,4239,11226033,44.5,-70.21
US,4097,9335093,43.84,-70.21
US,4262,11944010,44.53,-70.21
US,2675,10095880,41.7,-70.22
US,4984,10496498,44.68,-70.22
US,4983,11206077,44.8,-70.22
US,4294,10261944,44.59,-70.23
US,2637,9788935,41.7,-70.24
US,2673,11688431,41.65,-70.24
US,4212,9904957,44.08,-70.24
US,4211,10271523,44.08,-70.24
US,4253,10630285,44.33,-70.24
US,4210,11971423,44.08,-70.24
US,4105,11578394,43.72,-70.24
US,4945,9974994,45.62,-70.25
US,4112,9534817,43.66,-70.25
US,4104,10767176,43.66,-70.25
US,4282,9753915,44.25,-70.25
US,4021,11775773,43.8,-70.25
US,4101,11336697,43.66,-70.25
US,4102,9098427,43.66,-70.25
US,4103,12534797,43.66,-70.25
US,4266,9790658,44.33,-70.25
US,4225,12347209,44.62,-70.25
US,4109,10375822,43.66,-70.25
US,4122,9234697,43.66,-70.25
US,4123,8967150,43.66,-70.25
US,4124,8931302,43.66,-70.25
US,4223,11444822,44.03,-70.27
US,4260,8702773,43.96,-70.28
US,4106,12283330,43.63,-70.28
US,4116,11727360,43.63,-70.28
US,2601,9914024,41.65,-70.29
US,2647,9614144,41.64,-70.3
US,2630,8813115,41.7,-70.3
US,4227,9540317,44.57,-70.3
US,4221,10832937,44.44,-70.31
US,4258,9858493,44.08,-70.32
US,2672,9278085,41.66,-70.33
US,4070,10782346,43.59,-70.33
US,4039,10453334,43.88,-70.33
US,4074,9194712,43.59,-70.33
US,4230,12230964,44.06,-70.33
US,4288,9633765,44.17,-70.33
US,2632,10423051,41.66,-70.34
US,2634,10947063,41.66,-70.34
US,2636,8816791,41.64,-70.34
US,4966,9231146,44.82,-70.34
US,4006,11444762,43.44,-70.34
US,4098,9804985,43.69,-70.35
US,4092,11757261,43.69,-70.35
US,4220,12492836,44.28,-70.36
US,2668,8718623,41.7,-70.37
US,2655,12247797,41.62,-70.38
US,4064,9991479,43.52,-70.38
US,4063,11717479,43.51,-70.38
US,4256,10454601,44.11,-70.39
US,4274,10259974,44.06,-70.39
US,2648,9456382,41.67,-70.4
US,4238,10268327,44.19,-70.4
US,4290,9742746,44.5,-70.4
US,4062,11864239,43.79,-70.4
US,4082,11929320,43.73,-70.42
US,4285,12465199,44.69,-70.42
US,2537,11673393,41.73,-70.43
US,4292,11461407,44.39,-70.43
US,4014,12647397,43.37,-70.43
US,2635,12199085,41.62,-70.44
US,4982,10566241,45.14,-70.44
US,4038,9934493,43.68,-70.44
US,4005,12463696,43.46,-70.44
US,4007,11163119,43.46,-70.44
US,4224,8982506,44.53,-70.45
US,4072,10159409,43.53,-70.45
US,4291,9494649,44.05,-70.45
US,4046,12278553,43.35,-70.46
US,4071,11153893,43.9,-70.47
US,4936,11882603,45.21,-70.47
US,2649,9361966,41.65,-70.48
US,2563,9532434,41.75,-70.49
US,4271,10670644,44.26,-70.49
US,2644,10854370,41.68,-70.5
US,4270,11454317,44.14,-70.5
US,4077,11713130,43.87,-70.51
US,4281,9713880,44.21,-70.51
US,4015,9996725,44,-70.52
US,2561,11335268,41.78,-70.53
US,2562,12341955,41.79,-70.53
US,2539,9873050,41.38,-70.53
US,4004,10573064,43.61,-70.54
US,4257,8882849,44.56,-70.54
US,4043,9815716,43.38,-70.54
US,2536,8803021,41.56,-70.55
US,4268,10677195,44.21,-70.55
US,4084,9668550,43.73,-70.55
US,2345,12359238,41.92,-70.56
US,2557,10557236,41.45,-70.56
US,4276,10293930,44.54,-70.56
US,4289,9594433,44.32,-70.57
US,4090,8740495,43.32,-70.58
US,2381,9140381,41.93,-70.59
US,4054,9963039,43.3,-70.59
US,3907,9227955,43.24,-70.59
US,4275,10042515,44.66,-70.59
US,2541,8721729,41.54,-70.6
US,2553,8980809,41.71,-70.6
US,2568,10342953,41.45,-70.6
US,2573,9616448,41.45,-70.6
US,4055,10055895,43.97,-70.6
US,4042,9492832,43.59,-70.6
US,4093,10735919,43.66,-70.6
US,2542,12303642,41.75,-70.61
US,2534,12377723,41.66,-70.61
US,1966,11053326,42.64,-70.61
US,2532,10590967,41.75,-70.61
US,3902,11194553,43.17,-70.61
US,2540,12073503,41.56,-70.62
US,4094,10514689,43.41,-70.62
US,2559,10084867,41.69,-70.63
US,2556,11706588,41.64,-70.63
US,4075,9180591,43.85,-70.63
US,2020,11463231,42.08,-70.64
US,2574,9808362,41.6,-70.64
US,2538,12653193,41.77,-70.64
US,2565,9889826,41.63,-70.64
US,4219,11371623,44.37,-70.64
US,3911,12468305,43.14,-70.64
US,4970,11274383,44.96,-70.64
US,4029,10969269,43.89,-70.64
US,4085,9469687,43.76,-70.64
US,3909,8867555,43.14,-70.65
US,1931,11136593,42.62,-70.66
US,2543,11327603,41.52,-70.66
US,2362,12477848,41.95,-70.66
US,2558,11952669,41.74,-70.66
US,1930,10015582,42.62,-70.66
US,2360,11560332,41.95,-70.66
US,2361,9029841,41.95,-70.66
US,2575,11602147,41.38,-70.67
US,2331,8817566,42.04,-70.67
US,2332,9196907,42.04,-70.67
US,3910,11652121,43.18,-70.67
US,4040,11177937,44.11,-70.67
US,4024,12056602,43.88,-70.69
US,4030,11207624,43.6,-70.69
US,3905,9193239,43.08,-70.69
US,4237,11492065,44.49,-70.69
US,2050,8929225,42.09,-70.7
US,4255,10781123,44.4,-70.7
US,4057,9756533,44.1,-70.7
US,2065,12513484,42.1,-70.71
US,2041,9329890,42.1,-70.71
US,2571,9306988,41.76,-70.71
US,2364,11198067,41.99,-70.71
US,2059,9559450,42.1,-70.71
US,4088,9420680,44.18,-70.71
US,4087,12132530,43.53,-70.71
US,4049,11682833,43.73,-70.71
US,4002,12255828,43.47,-70.71
US,2366,11678408,41.83,-70.72
US,4009,8802241,44.06,-70.72
US,4267,9381590,44.2,-70.72
US,4226,10294179,44.6,-70.72
US,3854,12054409,43.05,-70.72
US,2051,10142463,42.15,-70.73
US,2066,10164174,42.18,-70.73
US,2552,10529203,41.34,-70.73
US,4061,12477876,43.63,-70.73
US,3906,10418302,43.3,-70.73
US,3904,8773815,43.09,-70.73
US,2535,10875666,41.34,-70.74
US,2576,8772804,41.78,-70.75
US,4216,10553363,44.63,-70.75
US,2047,10286905,42.19,-70.76
US,2738,12047465,41.7,-70.76
US,2330,8838801,41.88,-70.76
US,1944,8792749,42.56,-70.76
US,2040,11640984,42.19,-70.76
US,2055,10396667,42.19,-70.76
US,2060,9438360,42.21,-70.76
US,3871,11279341,43.01,-70.76
US,1929,9112457,42.63,-70.77
US,4091,10832760,43.83,-70.77
US,4964,12002084,44.96,-70.77
US,3870,11694114,43.01,-70.77
US,2061,9512163,42.16,-70.78
US,2358,11240726,42.09,-70.78
US,4073,11685409,43.44,-70.78
US,4261,9356740,44.48,-70.78
US,3802,9362258,43.05,-70.78
US,3801,9510378,43.05,-70.78
US,3804,9658311,43.05,-70.78
US,3803,11095118,43.05,-70.78
US,2355,10377826,41.91,-70.79
US,4217,12064500,44.4,-70.79
US,4048,9244191,43.68,-70.79
US,2327,10524404,42.06,-70.8
US,2739,12250032,41.66,-70.8
US,2025,9771079,42.23,-70.8
US,2359,12389540,42.06,-70.8
US,2713,8895296,41.45,-70.8
US,4022,12183039,43.97,-70.8
US,4041,9066758,43.87,-70.8
US,4020,10540657,43.8,-70.8
US,4083,10649108,43.46,-70.8
US,3903,11381497,43.15,-70.8
US,2367,11093940,41.95,-70.81
US,2770,11621738,41.73,-70.81
US,2339,10626172,42.11,-70.81
US,2340,9729664,42.11,-70.81
US,3908,10616530,43.23,-70.81
US,4231,10747933,44.25,-70.81
US,3843,10845757,42.94,-70.82
US,3869,11668201,43.23,-70.82
US,3842,8905186,42.94,-70.82
US,3805,10796554,43.23,-70.82
US,1938,11939591,42.67,-70.83
US,3840,12398337,43.03,-70.83
US,3862,12032975,42.97,-70.83
US,2350,10327867,42.02,-70.84
US,1952,11009302,42.83,-70.84
US,1915,9838007,42.55,-70.84
US,4076,9162532,43.54,-70.84
US,4056,11069738,43.64,-70.84
US,2341,12654852,42.06,-70.85
US,1945,11805034,42.5,-70.85
US,4027,10862851,43.39,-70.85
US,2338,10482406,41.98,-70.86
US,1982,9223352,42.62,-70.86
US,1965,8704258,42.56,-70.86
US,1936,11670570,42.61,-70.86
US,3901,10649324,43.26,-70.86
US,4286,11090144,44.4,-70.86
US,3844,11232797,42.91,-70.86
US,1969,11243056,42.71,-70.87
US,4016,9464070,44.17,-70.87
US,3821,9712901,43.19,-70.87
US,3874,9691222,42.89,-70.87
US,3820,8944045,43.19,-70.87
US,3822,9369804,43.19,-70.87
US,1984,11524028,42.6,-70.88
US,1950,9574283,42.81,-70.88
US,2043,10845486,42.23,-70.88
US,2018,12001767,42.17,-70.88
US,2044,9509377,42.23,-70.88
US,3878,10900107,43.25,-70.88
US,1907,11798037,42.46,-70.89
US,1971,9957115,42.51,-70.89
US,4051,12138079,44.12,-70.89
US,2743,10720337,41.68,-70.9
US,2045,12503024,42.3,-70.9
US,2719,10379380,41.63,-70.9
US,2346,11913603,41.86,-70.9
US,1970,8865970,42.51,-70.9
US,2344,9679324,41.86,-70.9
US,2348,12211255,41.86,-70.9
US,2349,10689248,41.86,-70.9
US,4010,9789869,43.93,-70.9
US,2370,10673033,42.13,-70.91
US,4001,10671270,43.53,-70.91
US,4028,9256420,43.72,-70.91
US,3885,10543378,43.02,-70.91
US,1908,10152136,42.42,-70.92
US,1913,11989055,42.85,-70.92
US,4095,10371892,43.64,-70.92
US,4047,11655716,43.72,-70.92
US,3824,8892136,43.13,-70.92
US,1922,10038805,42.75,-70.93
US,2744,11312589,41.66,-70.93
US,2746,9133424,41.66,-70.93
US,2382,11172049,42.08,-70.93
US,2745,8785662,41.66,-70.93
US,2740,10063868,41.66,-70.93
US,2741,11871487,41.66,-70.93
US,2742,10736868,41.66,-70.93
US,4068,9908473,43.79,-70.93
US,3823,10834595,43.17,-70.93
US,3856,10761521,43.03,-70.93
US,2191,9306277,42.2,-70.94
US,2189,9248644,42.2,-70.94
US,2188,11008567,42.2,-70.94
US,2190,10651678,42.2,-70.94
US,3857,12247017,43.07,-70.94
US,3833,10529868,42.97,-70.94
US,1983,10510117,42.63,-70.95
US,2347,12510857,41.85,-70.95
US,2333,12041842,42.03,-70.95
US,2351,12429068,42.11,-70.95
US,1923,11813776,42.57,-70.95
US,1937,9991516,42.57,-70.95
US,1903,11727040,42.47,-70.96
US,1901,9430576,42.47,-70.96
US,1905,11252067,42.47,-70.96
US,1904,11098594,42.47,-70.96
US,1902,9848371,42.47,-70.96
US,2337,10122204,42.01,-70.96
US,1910,12586452,42.47,-70.96
US,2717,11835962,41.75,-70.97
US,2324,11163595,41.98,-70.97
US,1960,10146608,42.53,-70.97
US,1961,11545389,42.53,-70.97
US,2325,10380446,41.98,-70.97
US,4037,10319126,44.01,-70.97
US,3852,11776780,43.5,-70.97
US,3866,11294239,43.3,-70.97
US,3839,9770175,43.3,-70.97
US,3868,12128854,43.3,-70.97
US,3867,9010742,43.3,-70.97
US,1833,11543125,42.73,-70.98
US,2748,9916056,41.55,-70.98
US,1921,9111868,42.67,-70.98
US,2152,9749753,42.37,-70.98
US,3851,11025543,43.4,-70.98
US,2151,11505398,42.41,-70.99
US,2269,11573103,42.26,-71
US,1951,9871403,42.8,-71
US,1985,8738864,42.8,-71
US,1860,11161917,42.83,-71
US,2379,12293347,42.01,-71
US,2343,10901889,42.14,-71
US,2747,9073574,41.64,-71
US,2170,10029237,42.26,-71
US,2171,10701156,42.26,-71
US,2184,11713909,42.2,-71
US,2169,10475011,42.26,-71
US,2185,9714276,42.2,-71
US,2714,9136373,41.56,-71
US,3882,11074824,43.71,-71
US,3830,12365848,43.64,-71
US,2718,10817306,41.87,-71.01
US,1949,11194064,42.6,-71.01
US,1906,11895995,42.46,-71.01
US,3872,9243281,43.56,-71.01
US,3827,12482027,42.92,-71.01
US,3861,10301773,43.1,-71.01
US,2303,9003141,42.08,-71.02
US,2302,9003036,42.08,-71.02
US,2301,10890143,42.08,-71.02
US,2304,10660925,42.08,-71.02
US,2305,11328086,42.08,-71.02
US,2322,10326618,42.11,-71.03
US,1834,12209968,42.75,-71.03
US,2150,12654398,42.39,-71.03
US,1885,11929891,42.67,-71.03
US,3836,9368462,43.81,-71.03
US,3887,8834616,43.45,-71.03
US,3858,12104510,42.86,-71.03
US,2768,12499156,41.93,-71.04
US,2767,10777411,41.93,-71.04
US,1940,11682990,42.53,-71.04
US,3813,10158995,43.97,-71.04
US,3825,11158367,43.22,-71.04
US,3859,11669068,42.86,-71.04
US,2149,9338744,42.4,-71.05
US,2368,10659979,42.17,-71.05
US,2176,9094069,42.45,-71.05
US,2148,11139416,42.43,-71.05
US,2298,11338128,42.34,-71.05
US,2207,9390898,42.35,-71.05
US,3848,10938698,42.93,-71.05
US,2123,11324125,42.35,-71.06
US,2112,9002001,42.35,-71.06
US,2117,10482287,42.35,-71.06
US,2205,10121142,42.35,-71.06
US,2163,11520244,42.35,-71.06
US,2196,9625920,42.35,-71.06
US,2702,9403076,41.78,-71.06
US,2210,10850998,42.35,-71.06
US,2199,10306536,42.35,-71.06
US,2120,12335608,42.35,-71.06
US,2113,10420379,42.35,-71.06
US,2110,12161459,42.35,-71.06
US,2121,10330811,42.35,-71.06
US,2109,11094539,42.35,-71.06
US,2215,12152220,42.35,-71.06
US,2111,12622516,42.35,-71.06
US,2119,10684116,42.35,-71.06
US,2122,11622278,42.35,-71.06
US,2108,10880428,42.35,-71.06
US,2115,10545922,42.35,-71.06
US,2125,9878760,42.35,-71.06
US,1864,11588278,42.56,-71.06
US,2128,9314850,42.35,-71.06
US,2114,11949855,42.35,-71.06
US,2129,10355867,42.38,-71.06
US,2124,8983705,42.35,-71.06
US,1880,12279262,42.5,-71.06
US,2118,11373296,42.35,-71.06
US,2127,11247404,42.35,-71.06
US,2116,11260783,42.35,-71.06
US,2228,9671121,42.35,-71.06
US,2133,11758533,42.35,-71.06
US,2203,8730798,42.35,-71.06
US,2222,9516679,42.35,-71.06
US,2283,11821570,42.35,-71.06
US,2284,9549348,42.35,-71.06
US,1889,9273542,42.56,-71.06
US,2201,9291227,42.35,-71.06
US,2204,10905982,42.35,-71.06
